Review,Clean_Review,Topic
During learn  this coursera course  i had enjoyed  .Concept is very clear and informative.Some topics  is missing in this course of python but those  topics which coverd by guider  is very  clear. i Had learned alot during this course leaning.,learn coursera course enjoyed concept clear informativesome topic missing course python topic coverd guider clear learned alot course leaning,4
Excellent course for beginners which includes comprehensive learning. One will surely enjoy.,excellent course beginner includes comprehensive learning one surely enjoy,4
It is good one. A beginner must try this. A little more exercise can be given for making learning better. Great.,good one beginner must try little exercise given making learning better great,1
It is an amazing course. This would help both computer background and non-computer background.,amazing course would help computer background noncomputer background,0
"Thank you for this course, Prof Andrew has a great knowledge and could make this easier to explain",thank course prof andrew great knowledge could make easier explain,0
It is a little too simple to divide the material into 4 weeks.,little simple divide material week,1
"Prof Severance is great! I enjoyed his teaching and the course is really comprehensive, I have close to zero background in programming and the course really guided me through and gave me an idea of it. I would love to take further courses to learn more about Python.",prof severance great enjoyed teaching course really comprehensive close zero background programming course really guided gave idea would love take course learn python,0
"I was hesitant at first because I thought I would just fall behind because it takes me time to write programs and remember all the stuff, but the videos and reading were helpful and the examples and projects were super fun. Learned a lot from the tests questions themselves. Though I am not in IT, I want it was a great crash course. Glad I finished it!",hesitant first thought would fall behind take time write program remember stuff video reading helpful example project super fun learned lot test question though want great crash course glad finished,0
"GOOD FOR THOSE WHO DON'T KNOW PROGRAMMING CONCEPTS, BUT IF U KNOW ANY OTHER LANGUAGE BASICS ITS BETTER TO TAKE THE ADVANCED COARSE THIS IS REALLY AT THE BOTTOM, FOR BEGINNERS.",good dont know programming concept u know language basic better take advanced coarse really bottom beginner,4
"Too basic course, good only if you don't have any exposure to any programming languages otherwise it's too easy and basic.",basic course good dont exposure programming language otherwise easy basic,4
I really enjoyed reading and learning this module. Very informative for a beginner on AI.,really enjoyed reading learning module informative beginner ai,4
"As a Mechanical Engineer, this course helps to learn Python coding in the simplest way. Beautifully defined lectures, Study materials, and Assignments.",mechanical engineer course help learn python coding simplest way beautifully defined lecture study material assignment,0
"Well done, thank you.",well done thank,0
"Thankyou,for this great oppurtunity to gain knowledge about everything....!",thankyoufor great oppurtunity gain knowledge everything,2
"After taking this course, I have no doubt that Andrew is one of the best instructors in deep learning! He made you feel everyone could learn deep learning and do well. The quizzes examine your understanding of the concepts with many details, and the programming assignments are very well designed - one is built on the other with an increased level of difficulties. However, they never overwhelm you if you have the patience and believe you can master them eventually.  The interviews with masters in machine learning also make this course even more exciting. Highly recommended to everyone who wants to start your journey in deep learning! Excited to start the next course in this specialization! Thank you, Coursera!",taking course doubt andrew one best instructor deep learning made feel everyone could learn deep learning well quiz examine understanding concept many detail programming assignment well designed one built increased level difficulty however never overwhelm patience believe master eventually interview master machine learning also make course even exciting highly recommended everyone want start journey deep learning excited start next course specialization thank coursera,2
It was quite a good experience !!!,quite good experience,4
"The course elaborates on the mathematical background of the computational methods used for machine learning, as well as demonstrates how this learning is done in practice. However, implementing the code in the exercises, I often felt I just need to ""fill in the missing part"" in a greater scheme built for me, in a way that sometimes diverted me from dealing and comprehending what exactly is going on in the code.",course elaborates mathematical background computational method used machine learning well demonstrates learning done practice however implementing code exercise often felt need fill missing part greater scheme built way sometimes diverted dealing comprehending exactly going code,1
Very comprehensive and useful course. ,comprehensive useful course,4
"Hard, and very intensive, but very fun and informative can't wait for the next course!",hard intensive fun informative cant wait next course,0
"Great introduction that provides a foundation for further learning. Concepts are clearly explained, video execution & facilitation by the instructor are are seamless, it's a fun, short, class to take. ",great introduction provides foundation learning concept clearly explained video execution facilitation instructor seamless fun short class take,2
short videos ,short video,1
This is an excellent course. The instructor explains the concepts very well and they are easy to understand. The course and program could benefit from office hours like google Hangout sessions where we can interact with people.,excellent course instructor explains concept well easy understand course program could benefit office hour like google hangout session interact people,0
"Very good overview, but some of the exercises felt a bit too easy.",good overview exercise felt bit easy,1
This is the first MOOC I've completed since I started enrolling to various ones in 2013. Professor Severance is very easy to listen to and he makes the discussion easy to comprehend for total beginners like me. The course is not as rigorous as I expected it to be but it covered the basics of Python. This course is truly great for those who doesn't have a programming background that needs to have an appreciation of programming for their work. I will continue working on the specialization after this one. ,first mooc ive completed since started enrolling various one professor severance easy listen make discussion easy comprehend total beginner like course rigorous expected covered basic python course truly great doesnt programming background need appreciation programming work continue working specialization one,0
"brilliant and insightful course, exceptionally educational. ",brilliant insightful course exceptionally educational,4
"My bueno, lo recomiendo.",bueno lo recomiendo,3
"Professor Bloom provides a high-level review of the most important topics in the field of psychology, he is easy to understand and keeps you engage. ",professor bloom provides highlevel review important topic field psychology easy understand keep engage,0
Concept simplified for easy adaptation of different kind and different level of users. I loved the simplicity in which the concept was explained that helped in demist,concept simplified easy adaptation different kind different level user loved simplicity concept explained helped demist,1
"Thanks for Coursera for make this online education, letting more people to get to learn thing they interested. Professor Andrew Ng make this course very easy to understand, although you have a poor knowledge about the math. Besides the assignment was much easier than I thought, what you need to finish is the some few core code, and the whole structure was finishe to guide to finishe the whole project, after several testing and reviewing, you would finish it by yourself and have a better understanding about this course.",thanks coursera make online education letting people get learn thing interested professor andrew ng make course easy understand although poor knowledge math besides assignment much easier thought need finish core code whole structure finishe guide finishe whole project several testing reviewing would finish better understanding course,0
Best platform to study at home thank you great job ,best platform study home thank great job,0
Excellent course for novice or beginners.You will be confident enough to start python programming,excellent course novice beginnersyou confident enough start python programming,4
Very well done!,well done,0
This course matched my recall (1993) of Intro Psych. I took the course to review new ideas in the field. Knowledge of the existence of Cognitive Enhancement Therapy made this course worth the time.,course matched recall intro psych took course review new idea field knowledge existence cognitive enhancement therapy made course worth time,0
Course was exceptional ! loops concept was awesomely explained by the instructor. Thanks Google & Coursera for this course,course exceptional loop concept awesomely explained instructor thanks google coursera course,0
Great Course!! Very well explained!!,great course well explained,4
THE SPELLING OF MY NAME IN THE CERTIFICATE IS WRONG.CLASSES ARE GOOD.,spelling name certificate wrongclasses good,0
